GEO.id,GEO.id2,GEO.display-label,hucen42010,hubase42010,huest72010,huest72011,huest72012,huest72013,huest72014,huest72015,huest72016,huest72017,huest72018,
0500000US01001,1001,"Autauga County, Alabama",22135,22136,22166,22351,22471,22837,22964,23104,23280,23494,23734,
0500000US01003,1003,"Baldwin County, Alabama",104061,104060,104292,104930,105671,106795,108082,109412,111579,114134,116631,0
0500000US01005,1005,"Barbour County, Alabama",11829,11829,11832,11841,11901,11901,11908,11919,11940,11970,12005,0
0500000US01007,1007,"Bibb County, Alabama",8981,8984,8990,9006,9031,9055,9084,9114,9142,9189,9239,0
0500000US01009,1009,"Blount County, Alabama",23887,23887,23900,23948,23992,24028,24066,24107,24209,24313,24429,0
0500000US01011,1011,"Bullock County, Alabama",4493,4492,4493,4497,4502,4504,4508,4513,4521,4535,4552,0
0500000US01013,1013,"Butler County, Alabama",9964,9962,9964,9968,9986,9995,10002,10008,10022,10054,10087,0
0500000US01015,1015,"Calhoun County, Alabama",53289,53292,53331,53402,53469,53504,53532,53608,53661,53773,53888,0
0500000US01017,1017,"Chambers County, Alabama",17004,16993,16994,16990,16984,16979,16971,16971,16974,17001,17023,0
0500000US01019,1019,"Cherokee County, Alabama",16267,16269,16278,16302,16379,16406,16434,16462,16505,16577,16661,0
0500000US01021,1021,"Chilton County, Alabama",19278,19269,19280,19316,19359,19391,19426,19525,19580,19671,19791,0
0500000US01023,1023,"Choctaw County, Alabama",7269,7268,7271,7280,7292,7300,7309,7319,7335,7363,7394,0
0500000US01025,1025,"Clarke County, Alabama",12638,12638,12642,12649,12662,12672,12689,12707,12726,12764,12808,0
0500000US01027,1027,"Clay County, Alabama",6776,6775,6776,6779,6784,6784,6787,6791,6798,6815,6835,0
0500000US01029,1029,"Cleburne County, Alabama",6718,6718,6723,6738,6750,6758,6767,6778,6794,6820,6850,0
0500000US01031,1031,"Coffee County, Alabama",22330,22331,22371,22593,22801,22881,22955,23007,23064,23150,23273,0
0500000US01033,1033,"Colbert County, Alabama",25758,25758,25777,25842,25949,26087,26231,26348,26452,26583,26731,0
0500000US01035,1035,"Conecuh County, Alabama",7093,7094,7096,7100,7106,7110,7114,7122,7135,7155,7177,0
0500000US01037,1037,"Coosa County, Alabama",6478,6489,6491,6497,6507,6513,6521,6529,6543,6567,6594,0
0500000US01039,1039,"Covington County, Alabama",18829,18830,18834,18841,18859,18865,18881,18887,18902,18936,18975,0
0500000US01041,1041,"Crenshaw County, Alabama",6735,6731,6732,6736,6749,6755,6763,6770,6780,6803,6829,0
0500000US01043,1043,"Cullman County, Alabama",37054,37054,37072,37118,37220,37283,37377,37481,37599,37802,38023,0
0500000US01045,1045,"Dale County, Alabama",22677,22677,22705,22840,22878,22953,22975,22998,23024,23085,23149,0
0500000US01047,1047,"Dallas County, Alabama",20208,20207,20208,20242,20302,20284,20325,20326,20321,20339,20361,0
0500000US01049,1049,"DeKalb County, Alabama",31109,31111,31124,31169,31222,31256,31304,31359,31423,31527,31660,0
0500000US01051,1051,"Elmore County, Alabama",32657,32644,32681,32839,33017,33271,33551,33841,34054,34241,34418,0
0500000US01053,1053,"Escambia County, Alabama",16486,16488,16492,16500,16520,16524,16533,16564,16580,16624,16676,0
0500000US01055,1055,"Etowah County, Alabama",47454,47453,47469,47514,47565,47592,47608,47628,47664,47745,47846,0
0500000US01057,1057,"Fayette County, Alabama",8437,8435,8437,8441,8449,8450,8454,8457,8465,8484,8507,0
0500000US01059,1059,"Franklin County, Alabama",14022,14023,14027,14036,14071,14075,14109,14120,14162,14194,14229,0
0500000US01061,1061,"Geneva County, Alabama",12687,12685,12690,12707,12724,12730,12740,12751,12768,12806,12850,0
0500000US01063,1063,"Greene County, Alabama",5007,5006,5007,5014,5023,5031,5040,5050,5063,5086,5111,0
0500000US01065,1065,"Hale County, Alabama",7655,7656,7663,7687,7703,7720,7734,7750,7767,7803,7845,0
0500000US01067,1067,"Henry County, Alabama",8891,8890,8902,8946,8994,9018,9040,9063,9091,9133,9183,0
0500000US01069,1069,"Houston County, Alabama",45319,45324,45383,45600,45816,46275,46594,46869,47124,47434,47784,0
0500000US01071,1071,"Jackson County, Alabama",24786,24783,24797,24822,24877,24900,24945,25000,25070,25169,25253,0
0500000US01073,1073,"Jefferson County, Alabama",300552,300589,300648,301178,302067,303583,304619,306046,307689,308879,309560,0
0500000US01075,1075,"Lamar County, Alabama",7354,7354,7356,7361,7368,7371,7376,7381,7391,7410,7435,0
0500000US01077,1077,"Lauderdale County, Alabama",43791,43789,43805,43928,44027,44286,44422,44452,44645,44834,45463,0
0500000US01079,1079,"Lawrence County, Alabama",15229,15229,15235,15252,15275,15290,15309,15329,15360,15414,15475,0
0500000US01081,1081,"Lee County, Alabama",62391,62407,62722,63707,64684,65393,66112,67039,67928,68896,70369,0
0500000US01083,1083,"Limestone County, Alabama",34977,34979,35024,35206,35362,35498,35638,35835,36020,36249,36529,0
0500000US01085,1085,"Lowndes County, Alabama",5140,5139,5139,5140,5145,5147,5152,5161,5175,5198,5224,0
0500000US01087,1087,"Macon County, Alabama",10259,10257,10258,10259,10262,10261,10260,10258,10259,10270,10283,0
0500000US01089,1089,"Madison County, Alabama",146447,146447,147084,148950,150632,152622,154512,156889,159098,161714,164272,0
0500000US01091,1091,"Marengo County, Alabama",10237,10242,10243,10275,10285,10287,10291,10295,10314,10348,10379,0
0500000US01093,1093,"Marion County, Alabama",14737,14737,14744,14759,14782,14796,14810,14823,14845,14889,14939,0
0500000US01095,1095,"Marshall County, Alabama",40342,40342,40354,40404,40458,40491,40528,40557,40601,40691,40816,0
0500000US01097,1097,"Mobile County, Alabama",178196,178201,178763,179473,180729,181311,181869,182300,182919,183885,184688,0
0500000US01099,1099,"Monroe County, Alabama",11333,11333,11335,11340,11349,11354,11363,11370,11388,11418,11455,0
0500000US01101,1101,"Montgomery County, Alabama",101641,101648,101659,102136,102675,103122,103398,103922,104493,104847,105162,0
0500000US01103,1103,"Morgan County, Alabama",51193,51191,51208,51343,51430,51539,51649,51757,51880,52091,52273,0
0500000US01105,1105,"Perry County, Alabama",4737,4733,4733,4734,4738,4738,4740,4743,4749,4762,4778,0
0500000US01107,1107,"Pickens County, Alabama",9483,9483,9486,9495,9508,9514,9523,9533,9551,9587,9623,0
0500000US01109,1109,"Pike County, Alabama",15267,15266,15286,15371,15456,15879,15953,16002,16052,16121,16226,0
0500000US01111,1111,"Randolph County, Alabama",11982,11984,11988,11998,12014,12017,12023,12031,12045,12075,12109,0
